time,distance,filtered,setpoint,error,control,beam_angle
0.0,0,0.0,66.0,0.0,100.0,-0.28
0.034,0,0.0,66.0,0.0,100.0,0.07
0.068,0,0.0,66.0,0.0,100.0,0.07
0.102,0,0.0,66.0,0.0,100.0,0.07
0.136,0,0.0,66.0,0.0,100.0,0.07
0.17,0,0.0,66.0,0.0,100.0,0.07
0.204,0,0.0,66.0,0.0,100.0,0.07
0.238,0,0.0,66.0,0.0,100.0,0.07
0.272,0,0.0,66.0,0.0,100.0,0.07
0.306,0,0.0,66.0,0.0,100.0,-0.17
0.34,0,0.0,66.0,0.0,100.0,-0.17
0.374,0,0.0,66.0,0.0,100.0,0.07
0.408,0,0.0,66.0,0.0,100.0,0.07
0.442,0,0.0,66.0,0.0,100.0,0.07
0.476,0,0.0,66.0,0.0,100.0,0.07
0.51,0,0.0,66.0,0.0,100.0,0.07
0.544,0,0.0,66.0,0.0,100.0,0.07
0.578,0,0.0,66.0,0.0,100.0,0.07
0.612,0,0.0,66.0,0.0,100.0,-0.27
0.646,0,0.0,66.0,0.0,100.0,-0.27
0.68,0,0.0,66.0,0.0,100.0,-0.28
0.714,0,0.0,66.0,0.0,100.0,-0.28
0.748,0,0.0,66.0,0.0,100.0,-0.28
0.782,0,0.0,66.0,0.0,100.0,0.07
0.816,0,0.0,66.0,0.0,100.0,0.07
0.85,0,0.0,66.0,0.0,100.0,0.07
0.884,0,0.0,66.0,0.0,100.0,0.07
0.918,0,0.0,66.0,0.0,100.0,0.07
0.952,0,0.0,66.0,0.0,100.0,0.07
0.986,0,0.0,66.0,0.0,100.0,0.07
1.02,0,0.0,66.0,0.0,100.0,0.07
1.054,0,0.0,66.0,0.0,100.0,0.07
1.088,0,0.0,66.0,0.0,100.0,0.07
1.122,0,0.0,66.0,0.0,120.0,0.07
1.156,0,0.0,66.0,0.0,120.0,0.07
1.19,0,0.0,66.0,0.0,120.0,-0.28
1.224,0,0.0,66.0,0.0,120.0,-0.28
1.258,0,0.0,66.0,0.0,120.0,-1.3
1.292,0,0.0,66.0,0.0,120.0,-1.3
1.326,0,0.0,66.0,0.0,120.0,-1.3
1.36,0,0.0,66.0,0.0,120.0,-3.19
1.394,2.0,1.0,66.0,0.0,120.0,-3.64
1.428,2.0,2.0,66.0,0.0,120.0,-3.64
1.462,6.0,5.0,66.0,0.0,120.0,-3.3
1.496,6.0,5.0,66.0,0.0,120.0,-3.3
1.53,6.0,6.0,66.0,0.0,120.0,-3.3
1.564,15.0,12.0,66.0,0.0,120.0,-3.3
1.598,15.0,14.0,66.0,0.0,120.0,-3.3
1.632,23.0,20.0,66.0,0.0,120.0,-3.3
1.666,23.0,22.0,66.0,0.0,120.0,-3.3
1.7,32.0,29.0,66.0,0.0,120.0,-3.99
1.734,32.0,31.0,66.0,0.0,120.0,-3.99
1.768,48.0,43.0,66.0,0.0,120.0,-3.19
1.802,48.0,47.0,66.0,0.0,120.0,-3.19
1.836,48.0,48.0,66.0,0.0,120.0,-3.19
1.87,67.0,61.0,66.0,0.0,120.0,-3.3
1.904,67.0,66.0,66.0,0.0,120.0,-3.3
1.938,81.0,77.0,66.0,0.0,120.0,-3.3
1.972,81.0,80.0,66.0,0.0,120.0,-3.3
2.006,97.0,92.0,66.0,0.0,120.0,-3.64
2.04,97.0,95.0,66.0,0.0,120.0,-3.64
2.074,97.0,96.0,66.0,0.0,120.0,-3.64
2.108,123.0,115.0,66.0,0.0,120.0,-3.19
2.143,123.0,120.0,66.0,0.0,120.0,-3.19
2.178,123.0,122.0,66.0,0.0,120.0,-3.19
2.213,153.0,143.0,66.0,0.0,120.0,-3.64
2.248,153.0,150.0,66.0,0.0,120.0,-3.64
2.283,173.0,166.0,66.0,0.0,120.0,-3.64
2.318,173.0,171.0,66.0,0.0,120.0,-3.64
2.353,195.0,188.0,66.0,0.0,120.0,-3.19
2.388,195.0,193.0,66.0,0.0,120.0,-3.19
2.423,195.0,195.0,66.0,0.0,120.0,-3.19
2.458,231.0,220.0,66.0,0.0,120.0,-3.3
2.493,231.0,227.0,66.0,0.0,120.0,-3.3
2.528,231.0,230.0,66.0,0.0,120.0,-3.3
2.563,237.0,234.0,66.0,0.0,120.0,-3.3
2.598,232.0,233.0,66.0,0.0,120.0,-3.64
2.633,232.0,232.0,66.0,0.0,120.0,-3.64
2.668,232.0,232.0,66.0,0.0,120.0,-3.64
2.703,232.0,232.0,66.0,0.0,120.0,-3.64
2.738,232.0,232.0,66.0,0.0,120.0,-3.64
2.773,235.0,234.0,66.0,0.0,120.0,-3.3
2.808,237.0,236.0,66.0,0.0,120.0,-3.3
2.843,237.0,237.0,66.0,0.0,120.0,-3.3
2.878,241.0,240.0,66.0,0.0,120.0,-3.3
2.913,244.0,243.0,66.0,0.0,120.0,-3.3
2.948,244.0,244.0,66.0,0.0,120.0,-3.3
2.983,248.0,247.0,66.0,0.0,120.0,-3.3
3.018,248.0,247.0,66.0,0.0,120.0,-3.3
3.053,248.0,248.0,66.0,0.0,120.0,-3.3
3.088,248.0,248.0,66.0,0.0,120.0,-3.3
3.123,248.0,248.0,66.0,0.0,120.0,-3.3
3.158,249.0,248.0,66.0,0.0,120.0,-3.3
3.193,249.0,248.0,66.0,0.0,120.0,-3.3
3.228,248.0,248.0,66.0,0.0,120.0,-3.3
3.263,248.0,248.0,66.0,0.0,120.0,-3.3
3.298,248.0,248.0,66.0,0.0,120.0,-3.3
3.333,248.0,248.0,66.0,0.0,120.0,-3.3
3.368,248.0,248.0,66.0,0.0,120.0,-3.3
3.403,249.0,248.0,66.0,0.0,120.0,-3.3
3.438,249.0,248.0,66.0,0.0,120.0,-3.3
3.473,249.0,248.0,66.0,0.0,120.0,-3.3
3.508,249.0,248.0,66.0,0.0,120.0,-3.3
3.543,248.0,248.0,66.0,0.0,120.0,-3.64
3.578,248.0,248.0,66.0,0.0,120.0,-3.3
3.613,248.0,248.0,66.0,0.0,120.0,-3.3
3.648,249.0,248.0,66.0,0.0,120.0,-3.3
3.683,249.0,248.0,66.0,0.0,120.0,-3.3
3.718,249.0,248.0,66.0,0.0,120.0,-3.3
3.753,249.0,248.0,66.0,0.0,120.0,-3.64
3.788,249.0,248.0,66.0,0.0,120.0,-3.64
3.823,249.0,248.0,66.0,0.0,120.0,-3.64
3.858,249.0,248.0,66.0,0.0,120.0,-3.3
3.893,248.0,248.0,66.0,0.0,120.0,-3.64
3.928,248.0,248.0,66.0,0.0,120.0,-3.64
